款,項,目,節,説明,R5,R6
市税,,,,,47449800,46460600
,市民税,,,,,16739000
,,個人,,,15208500,14297700
,,,現年課税分,,,14181000
,,,,"均等割（調定見込額 402,000×98.9％）",,397000
,,,,"所得割（調定見込額 (15,088,000-1,150,000)×98.9％）",,13784000
,,,滞納繰越分,"調定見込額 350,700×33.3％",,116700
,,法人,,,2364800,2441300
,,,現年課税分,,,2438000
,,,,"均等割（調定見込額 770,000×99.8％）",,768000
,,,,"法人税割（調定見込額 1,674,000×99.8％）",,1670000
,,,滞納繰越分,"調定見込額 17,900×18.8％",,3300
,固定資産税,,,,,23139800
,,固定資産税,,,23282800,23084800
,,,現年課税分,,,22998000
,,,,"土 地（調定見込額 8,185,000×99.5％）",,8144000
,,,,"家 屋（調定見込額 8,458,000×99.5％）",,8415000
,,,,"償却資産（調定見込額 6,472,000×99.5％）",,6439000
,,,滞納繰越分,,,86800
,,国有資産等所在市町村交付金,,,56000,55000
,,,現年課税分,,,55000
,,,,"交付金（算定標準額 3,991,000×1.4％）",,55000
,軽自動車税,,,,,887800
,,環境性能割,,,57000,50000
,,,環境性能割,,,50000
,,種別割,,,810400,837800
,,,現年課税分,"調定見込額 842,000×98.6％",,830000
,,,滞納繰越分,"調定見込額 26,200×29.9％",,7800
,市たばこ税,,,,,1987000
,,市たばこ税,,,1920000,1987000
,,,現年課税分,,,1987000
,,,,従量割,,1987000
,都市計画税,,,,,3707000
,,都市計画税,,,3750300,3707000
,,,現年課税分,,,3693000
,,,,"土 地（調定見込額 2,057,000×99.5％）",,2046000
,,,,家 屋,,1647000
地方譲与税,,,,,658000,678000
,地方揮発油譲与税,,,,,140000
,,地方揮発油譲与税,,,140000,140000
,,,地方揮発油譲,,,140000
,,,,地方揮発油譲与税（備考 与税）,,140000
,自動車重量譲与税,,,,,450000
,,自動車重量譲与税,,,450000,450000
,,,自動車重量譲,,,450000
,,,,"自動車重量譲与税（備考 与税 自動車重量税収入額の 407／1,000相当額）",,450000
,森林環境譲与税,,,,,78000
,,森林環境譲与税,,,58000,78000
,,,森林環境譲与,,,78000
,,,,森林環境譲与税（備考 税）,,78000
,特別とん譲与税,,,,,10000
,,特別とん譲与税,,,10000,10000
,,,特別とん譲与,,,10000
,,,,特別とん譲与税（備考 税 入港外国貿易船純トン数当たり 20円）,,10000
利子割交付金,,,,,20000,16000
,利子割交付金,,,,,16000
,,利子割交付金,,,20000,16000
,,,利子割交付金,,,16000
配当割交付金,,,,,150000,200000
,配当割交付金,,,,,200000
,,配当割交付金,,,150000,200000
,,,配当割交付金,,,200000
株式等譲渡所得割交付金,,,,,100000,250000
,株式等譲渡所得割交付金,,,,,250000
,,株式等譲渡所得割交付金,,,100000,250000
,,,株式等譲渡所,,,250000
,,,,株式等譲渡所得割交付金（備考 得割交付金 交付率 3／5）,,250000
法人事業税交付金,,,,,600000,650000
,法人事業税交付金,,,,,650000
,,法人事業税交付金,,,600000,650000
,,,法人事業税交,,,650000
,,,,法人事業税交付金（備考 付金 交付率 7.7／100）,,650000
地方消費税交付金,,,,,6500000,6200000
,地方消費税交付金,,,,,6200000
,,地方消費税交付金,,,6500000,6200000
,,,地方消費税交,,,6200000
,,,,地方消費税交付金（備考 付金 交付率 1／2）,,6200000
ゴルフ場利用税交付金,,,,,70000,67000
,ゴルフ場利用税交付金,,,,,67000
,,ゴルフ場利用税交付金,,,70000,67000
,,,ゴルフ場利用,,,67000
,,,,ゴルフ場利用税交付金（備考 税交付金 交付率 7／10 大富士ゴルフ場 外3ゴルフ場）,,67000
環境性能割交付金,,,,,90000,90000
,環境性能割交付金,,,,,90000
,,環境性能割交付金,,,90000,90000
,,,環境性能割交,,,90000
,,,,環境性能割交付金（備考 付金 交付率 43／100）,,90000
地方特例交付金,,,,,350000,1502000
,地方特例交付金,,,,,1459000
,,地方特例交付金,,,310000,1459000
,,,地方特例交付,,,1459000
,,,,地方特例交付金,,1459000
,,,,金 住宅借入金等特別税額控除減収補 分,,309000
,,,,定額減税減収補 分,,1150000
,新型コロナウイルス感染症対策地方税減収補 特別交付金,,,,,43000
,,新型コロナウイルス感染症対策地方税減収補 特別,,,40000,43000
,,,新型コロナウ,,,43000
,,,,新型コロナウイルス感染症対策地方税減収補 特別交付金（備考 イルス感染症 対策地方税減 収補 特別交 付金）,,43000
地方交付税,,,,,100000,100000
,地方交付税,,,,,100000
,,地方交付税,,,100000,100000
,,,地方交付税,,,100000
,,,,特別交付税,,100000
交通安全対策特別交付金,,,,,50000,40000
,交通安全対策特別交付金,,,,,40000
,,交通安全対策特別交付金,,,50000,40000
,,,交通安全対策,,,40000
,,,,交通安全対策特別交付金（備考 特別交付金 交付率 1／3）,,40000
分担金及び負担金,,,,,903649,923407
,負担金,,,,,923407
,,総務費負担金,,,90973,93622
,,,総務管理費負,,,93622
