款,項,目,節,説明,R7,R8
市税,,,,,48352500,49286300
,市民税,,,,18420900,18719000
,,個人,,,15840700,16203500
,,,現年課税分,,,16084000
,,,,現年課税分,,16084000
,,,,均等割（調定見込額 404000*98.9%）,,399000
,,,,所得割（調定見込額 15860000*98.9%）,,15685000
,,,滞納繰越分,,,119500
,,,,滞納繰越分（調定見込額 378200*31.6%）,,119500
,,法人,,,2580200,2515500
,,,現年課税分,,,2513000
,,,,現年課税分,,2513000
,,,,均等割（調定見込額 787000*99.8%）,,785000
,,,,法人税割（調定見込額 1732000*99.8%）,,1728000
,,,滞納繰越分,,,2500
,,,,滞納繰越分（調定見込額 17800*14.6%）,,2500
,固定資産税,,,,23235700,23861300
,,固定資産税,,,23180700,23806300
,,,現年課税分,,,23743000
,,,,現年課税分,,23743000
,,,,土地（調定見込額 8178000*99.6%）,,8145000
,,,,家屋（調定見込額 9041000*99.6%）,,9004000
,,,,償却資産（調定見込額 6621000*99.6%）,,6594000
,,,滞納繰越分,,,63300
,,,,滞納繰越分（調定見込額 220000*28.8%）,,63300
,,国有資産等所在市町村交付金,,,55000,55000
,,,現年課税分,,,55000
,,,,交付金（算定標準額 3966000*1.4%）,,55000
,軽自動車税,,,,941600,896700
,,環境性能割,,,85000,18000
,,,環境性能割,,,18000
,,,,環境性能割,,18000
,,種別割,,,856600,878700
,,,現年課税分,,,872000
,,,,現年課税分（調定見込額 883000*98.8%）,,872000
,,,滞納繰越分,,,6700
,,,,滞納繰越分（調定見込額 26300*25.5%）,,6700
,市たばこ税,,,,1979000,2001000
,,市たばこ税,,,1979000,2001000
,,,現年課税分,,,2001000
,,,,従量割,,2001000
,都市計画税,,,,3775200,3808300
,,都市計画税,,,3775200,3808300
,,,現年課税分,,,3798000
,,,,現年課税分,,3798000
,,,,土地（調定見込額 2053000*99.6%）,,2044000
,,,,家屋（調定見込額 1762000*99.6%）,,1754000
,,,滞納繰越分,,,10300
,,,,滞納繰越分（調定見込額 35800*28.8%）,,10300
地方譲与税,,,,,680000,685000
,地方揮発油譲与税,,,,140000,120000
,,地方揮発油譲与税,,,140000,120000
,,,地方揮発油譲与税,,,120000
,,,,地方揮発油譲与税,,120000
,自動車重量譲与税,,,,450000,480000
,,自動車重量譲与税,,,450000,480000
,,,自動車重量譲与税,,,480000
,,,,自動車重量譲与税（備考 自動車重量税収入額の407/1000相当額）,,480000
,森林環境譲与税,,,,80000,78000
,,森林環境譲与税,,,80000,78000
,,,森林環境譲与税,,,78000
,,,,森林環境譲与税,,78000
,特別とん譲与税,,,,10000,7000
,,特別とん譲与税,,,10000,7000
,,,特別とん譲与税,,,7000
,,,,特別とん譲与税（備考 入港外国貿易船純トン数当たり20円）,,7000
利子割交付金,,,,,22000,100000
,利子割交付金,,,,22000,100000
,,利子割交付金,,,22000,100000
,,,利子割交付金,,,100000
,,,,利子割交付金（備考 交付率3/5）,,100000
配当割交付金,,,,,350000,380000
,配当割交付金,,,,350000,380000
,,配当割交付金,,,350000,380000
,,,配当割交付金,,,380000
,,,,配当割交付金（備考 交付率3/5）,,380000
株式等譲渡所得割交付金,,,,,500000,700000
,株式等譲渡所得割交付金,,,,500000,700000
,,株式等譲渡所得割交付金,,,500000,700000
,,,株式等譲渡所得割交付金,,,700000
,,,,株式等譲渡所得割交付金（備考 交付率3/5）,,700000
法人事業税交付金,,,,,700000,770000
,法人事業税交付金,,,,700000,770000
,,法人事業税交付金,,,700000,770000
,,,法人事業税交付金,,,770000
,,,,法人事業税交付金（備考 交付率7.7/100）,,770000
地方消費税交付金,,,,,7000000,7800000
,地方消費税交付金,,,,7000000,7800000
,,地方消費税交付金,,,7000000,7800000
,,,地方消費税交付金,,,7800000
,,,,地方消費税交付金（備考 交付率1/2）,,7800000
ゴルフ場利用税交付金,,,,,60000,60000
,ゴルフ場利用税交付金,,,,60000,60000
,,ゴルフ場利用税交付金,,,60000,60000
,,,ゴルフ場利用税交付金,,,60000
,,,,ゴルフ場利用税交付金（備考 交付率7/10、大富士ゴルフ場外2ゴルフ場）,,60000
環境性能割交付金,,,,,110000,2000
,環境性能割交付金,,,,110000,2000
,,環境性能割交付金,,,110000,2000
,,,環境性能割交付金,,,2000
,,,,環境性能割交付金（備考 交付率43/100）,,2000
地方特例交付金,,,,,312000,458000
,地方特例交付金,,,,286000,453000
,,地方特例交付金,,,286000,453000
,,,地方特例交付金,,,453000
,,,,地方特例交付金,,453000
,,,,住宅借入金等特別税額控除減収補填分,,249000
,,,,地方揮発油譲与税減収補填分,,20000
,,,,自動車税減収補填分,,108000
,,,,軽自動車税減収補填分,,76000
,新型コロナウイルス感染症対策地方税減収補填特別交付金,,,,26000,5000
,,新型コロナウイルス感染症対策地方税減収補填特別交付金,,,26000,5000
,,,新型コロナウイルス感染症対策地方税減収補填特別交付金,,,5000
,,,,新型コロナウイルス感染症対策地方税減収補填特別交付金,,5000
地方交付税,,,,,200000,200000
,地方交付税,,,,200000,200000
,,地方交付税,,,200000,200000
,,,地方交付税,,,200000
,,,,特別交付税,,200000
交通安全対策特別交付金,,,,,40000,40000
,交通安全対策特別交付金,,,,40000,40000
,,交通安全対策特別交付金,,,40000,40000
,,,交通安全対策特別交付金,,,40000
,,,,交通安全対策特別交付金（調定見込額 交付率 1/3）,,40000
分担金及び負担金,,,,,898210,1673555
,負担金,,,,898210,1673555
,,総務費負担金,,,88354,107509
,,,総務管理費負担金,,,107509
,,,,健康管理費企業会計負担金,,18348
,,,,福利厚生費企業会計負担金,,532
,,,,情報公開費企業会計負担金,,396
,,,,会計事務費企業会計等負担金,,929
,,,,契約管理費企業会計負担金,,15320
,,,,工事検査費企業会計等負担金,,9800
,,,,情報化推進費企業会計等負担金,,48290
,,,,共同電算事業費企業会計等負担金,,13893
,,,,公平委員会共同設置運営費負担金,,1
,,民生費負担金,,,279204,297543
,,,老人福祉費負担金,,,47237
,,,,シルバーハウジング入居者負担金,,645
,,,,緊急保護措置利用者負担金,,100
,,,,養護老人ホーム入所者及び扶養義務者負担金（調定見込額 50848円*72人*12月）,,43932
,,,,生きがいデイサービス事業利用者負担金,,2560
,,,児童福祉費負担金,,,245780
,,,,未熟児養育医療費負担金,,2000
,,,,保育児童扶養義務者負担金（調定見込額 私立分(536人)169017+私立委託分(13人)4199+過年度分3712）,,176928
,,,,保育児童扶養義務者負担金（平日食事分）,,43663
,,,,保育児童扶養義務者負担金（土曜日食事分）,,994
,,,,保育児童扶養義務者負担金（家庭的保育事業）,,5983
,,,,保育児童受託分負担金,,14982
,,,,日本スポーツ振興センター災害共済掛金保護者負担金,,293
,,,,一時預かり保育料（食事分）,,656
,,,,乳児等通園支援児童扶養義務者負担金（食事分）,,281
,,,障害者福祉費負担金,,,4526
,,,,ふじやま学園日中一時支援事業保護者負担金,,735
,,,,ふじやま学園短期入所保護者負担金,,974
,,,,ふじやま学園施設入所保護者負担金,,892
,,,,こども発達センター利用者負担金,,1925
,,衛生費負担金,,,452198,468197
