=== Page 4 ===
款,項,"金
額",,,
"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税","市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税","千円
49,286,300",,,
"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税",1 市民税,"18,719,000",,,
"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税",2 固定資産税,"23,861,300",,,
"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税",3 軽自動車税,"896,700",,,
"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税",4 市たばこ税,"2,001,000",,,
"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税",5 都市計画税,"3,808,300",,,
"地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税","地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税","685,000",,,
"地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税",1 地方揮発油譲与税,"120,000",,,
"地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税",2 自動車重量譲与税,"480,000",,,
"地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税",3 森林環境譲与税,"78,000",,,
"地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税",4 特別とん譲与税,"7,000",,,
"利子割交付金
3
1 利子割交付金","利子割交付金
3
1 利子割交付金","100,000",,,
"利子割交付金
3
1 利子割交付金",1 利子割交付金,"100,000",,,
"配当割交付金
4
1 配当割交付金","配当割交付金
4
1 配当割交付金","380,000",,,
