款,項,目,節,説明,R6,R7,R8,補足_R6,補足_R7,補足_R8
市税,,,,,46460600,48352400,49286300,,,
,市民税,,,,16739000,18420900,18719000,,,
,,個人,,,14297700,15840700,16203500,,,
,,,現年課税分,,14181000,15717000,16084000,,,
,,,,均等割,397000,403000,399000,"調定見込額: 402,000×98.9％",調定見込額: 408000*98.9%,調定見込額: 404000*98.9%
,,,,所得割,13784000,15314000,15685000,"調定見込額: (15,088,000-1,150,000)×98.9％",調定見込額: (15490000-5000)*98.9%,調定見込額: 15860000*98.9%
,,,,現年課税分,,,16084000,,,
,,,滞納繰越分,,116700,123700,119500,,,
,,,,調定見込額,,,,,,
,,,,滞納繰越分,,,119500,,,調定見込額: 378200*31.6%
,,法人,,,2441300,2580200,2515500,,,
,,,現年課税分,,2438000,2578000,2513000,,,
,,,,均等割,768000,792000,785000,"調定見込額: 770,000×99.8％",調定見込額: 794000*99.8%,調定見込額: 787000*99.8%
,,,,法人税割,1670000,1786000,1728000,"調定見込額: 1,674,000×99.8％",調定見込額: 1790000*99.8%,調定見込額: 1732000*99.8%
,,,,現年課税分,,,2513000,,,
,,,滞納繰越分,,3300,2200,2500,,,
,,,,調定見込額,,,,,,
,,,,滞納繰越分,,,2500,,,調定見込額: 17800*14.6%
,固定資産税,,,,23139800,23235700,23861300,,,
,,固定資産税,,,23084800,23180700,23806300,,,
,,,現年課税分,,22998000,23101000,23743000,,,
,,,,土 地,8144000,,,"調定見込額: 8,185,000×99.5％",,
,,,,家 屋,8415000,,,"調定見込額: 8,458,000×99.5％",,
,,,,償却資産,6439000,6194000,6594000,"調定見込額: 6,472,000×99.5％",調定見込額: 6219000*99.6%,調定見込額: 6621000*99.6%
,,,,土地,,8136000,8145000,,調定見込額: 8169000*99.6%,調定見込額: 8178000*99.6%
,,,,家屋,,8771000,9004000,,調定見込額: 8807000*99.6%,調定見込額: 9041000*99.6%
,,,,現年課税分,,,23743000,,,
,,,滞納繰越分,,86800,79700,63300,,,
,,,,調定見込額,,,,,,
,,,,滞納繰越分,,,63300,,,調定見込額: 220000*28.8%
,,国有資産等所在市町村交付金,,,55000,55000,55000,,,
,,,現年課税分,,55000,55000,55000,,,
,,,,交付金,55000,55000,55000,"算定標準額: 3,991,000×1.4％",算定標準額: 3974000*1.4%,算定標準額: 3966000*1.4%
,軽自動車税,,,,887800,941600,896700,,,
,,環境性能割,,,50000,85000,18000,,,
,,,環境性能割,,50000,85000,18000,,,
,,,,環境性能割,,,18000,,,
,,種別割,,,837800,856600,878700,,,
,,,現年課税分,,830000,849000,872000,,,
,,,,調定見込額,,,,,,
,,,,現年課税分,,,872000,,,調定見込額: 883000*98.8%
,,,滞納繰越分,,7800,7600,6700,,,
,,,,調定見込額,,,,,,
,,,,滞納繰越分,,,6700,,,調定見込額: 26300*25.5%
,市たばこ税,,,,1987000,1979000,2001000,,,
,,市たばこ税,,,1987000,1979000,2001000,,,
,,,現年課税分,,1987000,1979000,2001000,,,
,,,,従量割,1987000,1979000,2001000,,,
,都市計画税,,,,3707000,3775200,3808300,,,
,,都市計画税,,,3707000,3775200,3808300,,,
,,,現年課税分,,3693000,3762000,3798000,,,
,,,,土 地,2046000,,,"調定見込額: 2,057,000×99.5％",,
,,,,家 屋,1647000,,,,,
,,,,土地,,2043000,2044000,,調定見込額: 2052000*99.6%,調定見込額: 2053000*99.6%
,,,,家屋,,1719000,1754000,,調定見込額: 1726000*99.6%,調定見込額: 1762000*99.6%
,,,,現年課税分,,,3798000,,,
,,,滞納繰越分,,,13200,10300,,,
,,,,調定見込額,,,,,,
,,,,滞納繰越分,,,10300,,,調定見込額: 35800*28.8%
地方譲与税,,,,,678000,680000,685000,,,
,地方揮発油譲与税,,,,140000,140000,120000,,,
,,地方揮発油譲与税,,,140000,140000,120000,,,
,,,地方揮発油譲,,140000,,,,,
,,,,地方揮発油譲与税,140000,,,備考: 与税,,
,,,地方揮発油譲与税,,,140000,120000,,,
,,,,地方揮発油譲与税,,,120000,,,
,自動車重量譲与税,,,,450000,450000,480000,,,
,,自動車重量譲与税,,,450000,450000,480000,,,
,,,自動車重量譲,,450000,,,,,
,,,,自動車重量譲与税,450000,,,"備考: 与税 自動車重量税収入額の 407／1,000相当額",,
,,,自動車重量譲与税,,,450000,480000,,,
,,,,自動車重量税収入額の407/1000相当額,,,,,,
,,,,自動車重量譲与税,,,480000,,,備考: 自動車重量税収入額の407/1000相当額
,森林環境譲与税,,,,78000,80000,78000,,,
,,森林環境譲与税,,,78000,80000,78000,,,
,,,森林環境譲与,,78000,,,,,
,,,,森林環境譲与税,78000,,,備考: 税,,
,,,森林環境譲与税,,,80000,78000,,,
,,,,森林環境譲与税,,,78000,,,
,特別とん譲与税,,,,10000,10000,7000,,,
,,特別とん譲与税,,,10000,10000,7000,,,
,,,特別とん譲与,,10000,,,,,
,,,,特別とん譲与税,10000,,,備考: 税 入港外国貿易船純トン数当たり 20円,,
,,,特別とん譲与税,,,10000,7000,,,
,,,,入港外国貿易船純トン数当たり20円,,,,,,
,,,,特別とん譲与税,,,7000,,,備考: 入港外国貿易船純トン数当たり20円
利子割交付金,,,,,16000,10000,100000,,,
,利子割交付金,,,,16000,10000,100000,,,
,,利子割交付金,,,16000,10000,100000,,,
,,,利子割交付金,,16000,10000,100000,,,
,,,,利子割交付金,,,100000,,,備考: 交付率3/5
配当割交付金,,,,,200000,55000,380000,,,
,配当割交付金,,,,200000,55000,380000,,,
,,配当割交付金,,,200000,55000,380000,,,
,,,配当割交付金,,200000,55000,380000,,,
,,,,配当割交付金,,,380000,,,備考: 交付率3/5
株式等譲渡所得割交付金,,,,,250000,60000,700000,,,
,株式等譲渡所得割交付金,,,,250000,60000,700000,,,
,,株式等譲渡所得割交付金,,,250000,60000,700000,,,
,,,株式等譲渡所,,250000,,,,,
,,,,株式等譲渡所得割交付金,250000,,,備考: 得割交付金 交付率 3／5,,
,,,株式等譲渡所得割交付金,,,60000,700000,,,
,,,,株式等譲渡所得割交付金,,,700000,,,備考: 交付率3/5
法人事業税交付金,,,,,650000,180000,770000,,,
,法人事業税交付金,,,,650000,180000,770000,,,
,,法人事業税交付金,,,650000,180000,770000,,,
,,,法人事業税交,,650000,,,,,
,,,,法人事業税交付金,650000,,,備考: 付金 交付率 7.7／100,,
,,,法人事業税交付金,,,180000,770000,,,
,,,,法人事業税交付金,,,770000,,,備考: 交付率7.7/100
地方消費税交付金,,,,,6200000,4800000,7800000,,,
,地方消費税交付金,,,,6200000,4800000,7800000,,,
,,地方消費税交付金,,,6200000,4800000,7800000,,,
,,,地方消費税交,,6200000,,,,,
,,,,地方消費税交付金,6200000,,,備考: 付金 交付率 1／2,,
,,,地方消費税交付金,,,4800000,7800000,,,
,,,,地方消費税交付金,,,7800000,,,備考: 交付率1/2
ゴルフ場利用税交付金,,,,,67000,30000,60000,,,
,ゴルフ場利用税交付金,,,,67000,30000,60000,,,
